"Description","running time","beam size","alpha","L-1","L-2","L-3","L-4","L-5","L-6","L-7","L-8","L-9","L-10","L-11","L-12","L-13","L-14","L-15","L-16","L-17","L-18","L-19","L-20","score"
"Weighted Heuristics .29",1000,100,0.29,0.85,0.75,0.7,0.7,0.85,0.57,0.62,0.93,0.8,0.77,0.82,0.68,0.68,0.7,0.85,0.88,0.82,0.73,0.68,0.68,
"Weighted Heuristics .30",1000,100,0.3,0.85,0.75,0.7,0.7,0.85,0.55,0.62,0.93,0.8,0.77,0.82,0.68,0.68,0.7,0.85,0.88,0.82,0.73,0.68,0.68,
"Weighted Heuristics .31",1000,100,0.31,0.85,0.75,0.7,0.7,0.85,0.5,0.62,0.93,0.8,0.77,0.82,0.68,0.68,0.7,0.85,0.88,0.82,0.73,0.68,0.68,
"Weighted Heuristics .32",1000,100,0.32,0.85,0.75,0.7,0.7,0.85,0.55,0.62,0.93,0.8,0.77,0.82,0.68,0.68,0.7,0.85,0.88,0.82,0.65,0.68,0.68,
"Weighted Heuristics .33",1000,100,0.33,0.85,0.75,0.7,0.7,0.85,0.62,0.57,0.93,0.8,0.77,0.82,0.68,0.68,0.7,0.85,0.88,0.82,0.73,0.68,0.68,
"Weighted Heuristics .34",1000,100,0.34,0.85,0.73,0.7,0.7,0.82,0.62,0.62,0.75,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.68,0.52,0.7,0.68,
"Weighted Heuristics .35",1000,100,0.35,0.85,0.73,0.7,0.7,0.82,0.6,0.57,0.75,0.8,0.77,0.8,0.6,0.73,0.68,0.85,0.88,0.68,0.52,0.7,0.68,
"Weighted Heuristics .36",1000,100,0.36,0.85,0.73,0.7,0.7,0.82,0.55,0.62,0.75,0.8,0.77,0.8,0.6,0.73,0.68,0.85,0.88,0.68,0.52,0.7,0.68,
"Weighted Heuristics .37",1000,100,0.37,0.85,0.73,0.7,0.7,0.82,0.62,0.57,0.75,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.68,0.52,0.7,0.68,
"Weighted Heuristics .38",1000,100,0.38,0.85,0.73,0.7,0.7,0.82,0.5,0.62,0.75,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.82,0.52,0.7,0.68,
"Weighted Heuristics .39",1000,100,0.39,0.85,0.73,0.7,0.7,0.82,0.55,0.62,0.75,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.82,0.52,0.7,0.68,
"Weighted Heuristics .40",1000,100,0.4,0.85,0.82,0.7,0.7,0.8,0.55,0.62,0.75,0.85,0.77,0.73,0.6,0.73,0.75,0.85,0.88,0.73,0.55,0.7,0.68,
"Weighted Heuristics .41",1000,100,0.41,0.85,0.82,0.68,0.7,0.82,0.55,0.57,0.93,0.8,0.77,0.73,0.68,0.73,0.73,0.85,0.88,0.77,0.73,0.7,0.68,
"Weighted Heuristics .42",1000,100,0.42,0.85,0.82,0.68,0.7,0.82,0.55,0.62,0.93,0.8,0.77,0.73,0.68,0.73,0.73,0.85,0.88,0.77,0.73,0.7,0.68,
"Weighted Heuristics .43",1000,100,0.43,0.85,0.82,0.68,0.7,0.82,0.55,0.57,0.93,0.8,0.77,0.8,0.68,0.73,0.73,0.85,0.88,0.7,0.73,0.7,0.68,
"Weighted Heuristics .44",1000,100,0.44,0.85,0.82,0.68,0.7,0.82,0.55,0.57,0.93,0.8,0.77,0.8,0.68,0.73,0.73,0.85,0.88,0.7,0.73,0.7,0.68,
"Weighted Heuristics .45",1000,100,0.45,0.85,0.75,0.68,0.7,0.82,0.55,0.62,0.93,0.8,0.77,0.8,0.68,0.73,0.73,0.85,0.88,0.77,0.73,0.7,0.68,
"Weighted Heuristics .46",1000,100,0.46,0.85,0.75,0.68,0.7,0.82,0.55,0.62,0.93,0.8,0.77,0.8,0.68,0.73,0.73,0.85,0.88,0.77,0.73,0.7,0.68,
"Weighted Heuristics .47",1000,100,0.47,0.85,0.75,0.68,0.7,0.82,0.55,0.62,0.93,0.8,0.77,0.8,0.68,0.73,0.73,0.85,0.88,0.77,0.73,0.7,0.68,
"Weighted Heuristics .48",1000,100,0.48,0.85,0.75,0.68,0.7,0.82,0.55,0.57,0.93,0.8,0.77,0.8,0.68,0.73,0.73,0.85,0.88,0.77,0.73,0.7,0.68,
"Weighted Heuristics .49",1000,100,0.49,0.85,0.75,0.68,0.7,0.82,0.55,0.62,0.93,0.8,0.77,0.8,0.68,0.73,0.73,0.85,0.88,0.77,0.73,0.7,0.68,
"Weighted Heuristics .50",1000,100,0.5,0.85,0.68,0.68,0.7,0.77,0.62,0.62,0.75,0.8,0.77,0.7,0.6,0.73,0.7,0.85,0.88,0.73,0.73,0.77,0.68,
"Weighted Heuristics .51",1000,100,0.51,0.85,0.8,0.68,0.7,0.77,0.7,0.62,0.7,0.8,0.77,0.62,0.7,0.68,0.6,0.85,0.88,0.77,0.43,0.73,0.68,
"Weighted Heuristics .52",1000,100,0.52,0.85,0.8,0.68,0.7,0.77,0.7,0.62,0.7,0.8,0.77,0.68,0.7,0.68,0.6,0.85,0.88,0.77,0.43,0.73,0.68,
"Weighted Heuristics .53",1000,100,0.53,0.85,0.8,0.68,0.7,0.77,0.7,0.62,0.7,0.8,0.77,0.62,0.7,0.68,0.6,0.85,0.88,0.77,0.43,0.73,0.68,
"Weighted Heuristics .54",1000,100,0.54,0.85,0.8,0.68,0.7,0.77,0.57,0.62,0.7,0.8,0.77,0.68,0.7,0.68,0.6,0.85,0.88,0.77,0.43,0.73,0.68,
"Weighted Heuristics .55",1000,100,0.55,0.85,0.8,0.68,0.7,0.77,0.52,0.62,0.7,0.8,0.77,0.68,0.7,0.68,0.6,0.85,0.88,0.75,0.43,0.73,0.68,
"Weighted Heuristics .56",1000,100,0.56,0.85,0.8,0.68,0.7,0.77,0.65,0.62,0.7,0.8,0.77,0.68,0.7,0.68,0.6,0.85,0.88,0.77,0.43,0.73,0.68,
"Weighted Heuristics .57",1000,100,0.57,0.85,0.8,0.68,0.7,0.77,0.7,0.62,0.7,0.8,0.77,0.68,0.7,0.68,0.6,0.85,0.88,0.77,0.43,0.73,0.68,
"Weighted Heuristics .58",1000,100,0.58,0.85,0.7,0.68,0.7,0.75,0.7,0.62,0.7,0.8,0.77,0.7,0.6,0.68,0.8,0.85,0.82,0.8,0.55,0.73,0.68,
"Weighted Heuristics .59",1000,100,0.59,0.85,0.7,0.68,0.7,0.75,0.7,0.62,0.7,0.8,0.77,0.7,0.6,0.68,0.8,0.85,0.82,0.8,0.55,0.73,0.68,
"Weighted Heuristics .60",1000,100,0.6,0.85,0.8,0.7,0.7,0.75,0.57,0.62,0.7,0.8,0.77,0.7,0.7,0.68,0.68,0.85,0.82,0.68,0.55,0.73,0.68,
"Weighted Heuristics .61",1000,100,0.61,0.85,0.8,0.7,0.68,0.75,0.7,0.62,0.7,0.8,0.77,0.7,0.7,0.73,0.68,0.85,0.82,0.75,0.55,0.73,0.68,
"Weighted Heuristics .62",1000,100,0.62,0.85,0.8,0.7,0.68,0.75,0.7,0.62,0.7,0.8,0.77,0.7,0.7,0.73,0.68,0.85,0.82,0.75,0.55,0.73,0.68,
"Weighted Heuristics .63",1000,100,0.63,0.85,0.8,0.7,0.68,0.75,0.7,0.62,0.7,0.8,0.77,0.7,0.7,0.73,0.68,0.85,0.82,0.73,0.55,0.73,0.68,
"Weighted Heuristics .64",1000,100,0.64,0.85,0.8,0.7,0.68,0.75,0.57,0.62,0.7,0.8,0.77,0.7,0.7,0.73,0.68,0.85,0.82,0.73,0.55,0.73,0.68,
"Weighted Heuristics .65",1000,100,0.65,0.85,0.8,0.7,0.68,0.75,0.7,0.62,0.7,0.8,0.77,0.7,0.7,0.73,0.68,0.85,0.82,0.73,0.55,0.73,0.68,
"Weighted Heuristics .66",1000,100,0.66,0.85,0.8,0.7,0.68,0.75,0.7,0.62,0.7,0.8,0.77,0.7,0.7,0.73,0.68,0.85,0.82,0.73,0.55,0.73,0.68,
"Weighted Heuristics .67",1000,100,0.67,0.77,0.68,0.52,0.6,0.85,0.55,0.6,0.7,0.8,0.77,0.65,0.7,0.6,0.52,0.68,0.77,0.57,0.45,0.75,0.6,
"Weighted Heuristics .68",1000,100,0.68,0.77,0.68,0.52,0.6,0.85,0.57,0.6,0.7,0.8,0.77,0.65,0.7,0.6,0.52,0.68,0.77,0.57,0.45,0.75,0.6,
"Weighted Heuristics .69",1000,100,0.69,0.77,0.68,0.52,0.6,0.85,0.57,0.6,0.7,0.8,0.77,0.65,0.7,0.6,0.52,0.68,0.77,0.57,0.45,0.75,0.6,
"Weighted Heuristics .70",1000,100,0.7,0.77,0.68,0.52,0.6,0.85,0.57,0.6,0.7,0.8,0.77,0.65,0.7,0.6,0.52,0.68,0.77,0.57,0.45,0.75,0.6,
"Weighted Heuristics .71",1000,100,0.71,0.77,0.68,0.52,0.6,0.85,0.57,0.6,0.7,0.8,0.77,0.65,0.7,0.6,0.52,0.68,0.77,0.57,0.45,0.75,0.6,
"Weighted Heuristics .72",1000,100,0.72,0.77,0.68,0.52,0.6,0.85,0.57,0.6,0.7,0.8,0.77,0.65,0.7,0.6,0.52,0.68,0.77,0.68,0.45,0.75,0.6,
"Weighted Heuristics .73",1000,100,0.73,0.77,0.68,0.52,0.6,0.85,0.5,0.6,0.65,0.8,0.77,0.65,0.62,0.6,0.52,0.68,0.77,0.68,0.45,0.75,0.6,
"Weighted Heuristics .74",1000,100,0.74,0.77,0.68,0.52,0.6,0.85,0.57,0.6,0.65,0.8,0.77,0.65,0.62,0.6,0.52,0.68,0.77,0.68,0.45,0.75,0.6,
"Weighted Heuristics .75",1000,100,0.75,0.7,0.8,0.5,0.6,0.82,0.57,0.5,0.68,0.8,0.77,0.62,0.62,0.57,0.52,0.68,0.77,0.57,0.45,0.75,0.6,
"Weighted Heuristics .76",1000,100,0.76,0.75,0.68,0.55,0.57,0.85,0.57,0.5,0.68,0.8,0.77,0.65,0.47,0.6,0.52,0.68,0.77,0.65,0.45,0.75,0.6,
"Weighted Heuristics .77",1000,100,0.77,0.75,0.68,0.55,0.57,0.85,0.57,0.5,0.68,0.8,0.77,0.65,0.47,0.6,0.52,0.68,0.77,0.65,0.45,0.75,0.6,
